Issue key,Issue id,Summary,Issue Type,Status,Status Category,Project key,Project name,Priority,Resolution,Assignee,Reporter,Creator,Parent key,Parent summary,Team Name,Sprint,Created,Updated,Resolved,Due date,Custom field (Domain),Custom field (Story Points),Custom field (Solution Architect),Original estimate
GTS-1,100001,Screening,Initiative,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,,,Global Trade,,,,,,,,,
GTS-2,100002,Classification,Initiative,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,,,Global Trade,,,,,,,,,
GTS-3,100003,Customs Filing,Initiative,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,,,Global Trade,,,,,,,,,
GTS-4,100004,Denied Party,Epic,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,GTS-1,Screening,Global Trade,,,,,,,,,
GTS-5,100005,Product Classification,Epic,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,GTS-2,Classification,Global Trade,,,,,,,,,
GTS-6,100006,Broker EDI,Epic,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,GTS-3,Customs Filing,Global Trade,,,,,,,,,
GTS-7,100007,Duty Management,Epic,To Do,To Do,GTS,SAP GTS,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,GTS-1,Screening,Global Trade,,,,,,,,,
GTS-8,100008,Design Duty Management data model,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,26/May/26 12:00 AM,12/Jun/26 12:00 AM,12/Jun/26 12:00 AM,11/Jun/26 12:00 AM,,,Sean Gallagher,54000
GTS-9,100009,Automate Denied Party interface,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,08/Apr/26 12:00 AM,07/May/26 12:00 AM,07/May/26 12:00 AM,11/May/26 12:00 AM,,,Daniel Osei,133200
GTS-10,100010,Validate Duty Management API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,11/Mar/26 12:00 AM,21/Mar/26 12:00 AM,21/Mar/26 12:00 AM,25/Mar/26 12:00 AM,,,Priya Nandakumar,21600
GTS-11,100011,Validate Denied Party training module,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,23/Mar/26 12:00 AM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,14/Apr/26 12:00 AM,,,Priya Nandakumar,97200
GTS-12,100012,Refactor Product Classification master record,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,27/Mar/26 12:00 AM,17/Aug/26 12:00 AM,,11/May/26 12:00 AM,,,Sean Gallagher,68400
GTS-13,100013,Configure Denied Party audit trail,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,07/Jul/26 12:00 AM,01/Sep/26 12:00 AM,01/Sep/26 12:00 AM,02/Sep/26 12:00 AM,,,Priya Nandakumar,158400
