program_id,name,is_strategic,parent_program_id,portfolio,domain,executive_sponsor,program_owner,delivery_lead,phase,start_date,target_date,target_quarter,budget_usd,spent_usd,source_system,source_files,jira_project_keys,demand_assignment_groups,agent_sub_domains,key_risks
finance-digital-transformation,Finance Digital Transformation,true,,Finance,Finance,"VP, APAC Region",Grace Mwangi,Elena Petrova,Execution,2024-09-02,2027-03-31,Q4 FY27,4200000,2640000,Smartsheet,finance_ma_smartsheet.csv,,Finance;#Support Enhancement Hours,,Statutory reporting scope keeps expanding; four late change requests in the last quarter.
s4-modernization,S4 Modernization,true,,ERP,ERP Modernization,"VP, Quality & Regulatory",Pavel Novak,Sean Gallagher,Planning,2025-06-02,2029-06-29,Q1 FY30,18000000,3100000,Excel PM Tracker,s4_program_tracker.xlsx,,,,Global template sign-off is the gating dependency for every regional wave.
s4-ws-4a,S4 WS 4A,true,s4-modernization,ERP,ERP Modernization,"VP, Commercial Excellence",Grace Mwangi,Beatriz Santos,Discovery,2026-01-05,2028-06-30,Q2 FY28,5600000,780000,Excel PM Tracker,s4_program_tracker.xlsx,,Manufacturing,Manufacturing,Plant maintenance SME availability is unresolved at three of nine sites.
kaika-japan-jde,Kaika (Japan JDE),true,,APAC,Regional ERP,"VP, APAC Region",Priya Nandakumar,Grace Mwangi,Execution,2025-02-03,2026-12-18,Q3 FY27,3400000,2210000,Status Report,apac_kaika_status.csv,,MEIC,,Japanese statutory localization testing is compressed into a single window.
spm,SPM,true,,Supply Chain,Supply Chain,"VP, Quality & Regulatory",Ingrid Bauer,Nora Lindqvist,Planning,2026-02-02,2027-09-30,Q2 FY28,1200000,190000,Status Report,apac_kaika_status.csv,,,,Two of three analyst roles are still unfilled; start date has moved twice.
nextgen-trackwise,NextGen Trackwise,true,,Quality,Quality & Regulatory,"VP, Data & Analytics",Fatima Al-Rashid,Colin Murphy,Stabilization,2024-11-04,2026-11-30,Q3 FY27,6800000,5950000,TrackWise,quality_trackwise_export.csv,,,Quality,Validation evidence rework is consuming the contingency built into hypercare.
fieldlink,FieldLink,true,,Commercial,Field Operations,"VP, APAC Region",Lucia Ferrari,Nora Lindqvist,Execution,2025-01-06,2026-10-30,Q2 FY27,2900000,1820000,ServiceNow,commercial_servicenow.csv,,FieldLink POD,GSR,Offline sync conflicts remain the top defect category in the field pilot.
m-a,M&A,true,,Corporate,Corporate Development,"VP, Finance Transformation",Wei Zhang,Pavel Novak,Discovery,2026-03-02,2027-12-31,Q3 FY28,2100000,440000,Smartsheet,finance_ma_smartsheet.csv,,,,Scope is deal-driven: two workstreams were stood down when a deal lapsed.
nextgen-p-c-commercial,NextGen P&C Commercial,true,,Commercial,Commercial,"SVP, Enterprise Technology",Elena Petrova,Elena Petrova,Execution,2024-10-01,2027-06-30,Q1 FY28,7500000,4900000,ServiceNow,commercial_servicenow.csv,,NextGen P&C Commercial POD;#GSR POD;#Global Region POD,Commercial,Eleven percent of the queue is blocked on a single external pricing vendor.
commercial-gcdh,Commercial GCDH,true,,Commercial,Commercial Data,"VP, Corporate Development",Ingrid Bauer,Sean Gallagher,Execution,2025-05-05,2026-12-31,Q3 FY27,3300000,2420000,ServiceNow,commercial_servicenow.csv,,Commercial GCDH POD;#GOSC POD,GOSC,Seventeen percent of accepted scope has been descoped - requirements churn.
sap-gts,SAP GTS,true,,Global Trade,Global Trade & Compliance,"VP, Data & Analytics",Elena Petrova,Sean Gallagher,Execution,2026-01-12,2027-03-31,Q1 FY27,2400000,1450000,Jira,,GTS,,SAP,Customs broker EDI certification is tracking about three weeks late.
sap-mdg,SAP MDG,true,,Master Data,Master Data Management,"VP, Commercial Excellence",Tomas Vargas,Ingrid Bauer,Planning,2026-04-01,2027-09-30,Q3 FY27,1800000,410000,Jira,,MDG,,,Business data stewards are unconfirmed in two of four regions.
reltio-mdm,Reltio - MDM,true,,Master Data,Master Data Management,"SVP, Enterprise Technology",Rajesh Iyer,Grace Mwangi,Stabilization,2024-08-05,2026-12-31,Q4 FY26,3100000,2730000,Jira,,RLT,,MDM,Legacy hub decommissioning depends on two downstream consumers migrating.
bi-platform-support,BI Platform Support,false,,Data & AI Platform,Data Platform,"VP, APAC Region",Beatriz Santos,Yuki Nakamura,Execution,2024-01-08,2027-12-31,Ongoing,1600000,1180000,ServiceNow,commercial_servicenow.csv,,BI Platform Support POD;#AMPS;#TCS POD,Enterprise,Steady-state queue; risk is capacity being pulled onto project work.
regulatory-reporting-automation,Regulatory Reporting Automation,false,,Quality,Quality & Regulatory,"VP, Quality & Regulatory",Lucia Ferrari,Nora Lindqvist,Execution,2025-09-01,2026-11-30,Q3 FY27,900000,540000,Jira,,REG,CTS POD,Regulatory,EU MDR template changes land mid-build and force rework.
analytics-enablement,Analytics Enablement,false,,Data & AI Platform,Data Platform,"VP, Finance Transformation",Colin Murphy,Wei Zhang,Execution,2025-03-03,2027-03-31,Q4 FY27,650000,380000,Status Report,apac_kaika_status.csv,,,,Adoption depends on business-unit champions who have day jobs.
