Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Components,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Polaris datapoint work item link),Outward issue link (Polaris datapoint work item link),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Inward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Outward issue link (Work item split),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Acceptance Criteria (migrated)),Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Application),Custom field (Approach),Custom field (Approach),Custom field (Approach),Custom field (Approvals),Custom field (Area (SFDC Billing)),Custom field (Assigned To),Custom field (Assumptions),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Automation Tool/Framework),Custom field (Backout Plan),Custom field (Begin Date),Custom field (Begin Date (migrated)),Custom field (Budget),Custom field (Budget),Custom field (Budget),Custom field (Bug Severity),Custom field (Business Applications Impacted),Custom field (Business Impact),Custom field (Business Review Comments),Custom field (Business Value),Custom field (Business approved),Custom field (CAPEX ($)),Custom field (Category),Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Cause),Custom field (Change Type (migrated)),Custom field (Change completion date),Custom field (Change completion date (migrated)),Custom field (Change reason),Custom field (Change reason (migrated)),Custom field (Change reason (migrated) (migrated)),Custom field (Change risk),Custom field (Change risk (migrated)),Custom field (Change risk (migrated) (migrated)),Custom field (Change start date),Custom field (Change start date (migrated)),Custom field (Change type),Custom field (Change type (migrated) (migrated)),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Text),Custom field (Close Note),Custom field (Closed Date),Custom field (Closed Date (migrated)),Custom field (Closure Reason),Custom field (Comments),Custom field (Comments),Custom field (Commit / Tag),Custom field (Communication to ComEx),Custom field (Communication to End-Users),Custom field (Completion Date),Custom field (Complexity),Custom field (Confidence),Custom field (Cost Center),Custom field (Cost Estimate),Custom field (Country/Locale),Custom field (Data Architect),Custom field (Data Model Impact Details),Custom field (Date of Testing),Custom field (Deliverables),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Demand ID),Custom field (Demand Intake Number),Custom field (Deployment Date),Custom field (Designs ready),Custom field (Dev Group),Custom field (Dev Status),Custom field (Dev Teams),Custom field (Developer),Custom field (Development),Custom field (Development Start Date),Custom field (Documents),Custom field (Domain),Custom field (Domain),Custom field (Due Date),Custom field (Due Date),Custom field (Due Date),Custom field (Due Date),Custom field (Due Date),Custom field (Due Date),Custom field (Due Date),Custom field (Due Date ),Custom field (Due date (migrated)),Custom field (ETA),Custom field (Effort),Custom field (End),Custom field (End Date),Custom field (End Date (migrated)),Custom field (Enhancement Hours),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Est Start Date),Custom field (Est. Cost),Custom field (Estimate Date),Custom field (Evaluator Insights),Custom field (Evaluator Insights),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Found in (RCA)),Custom field (Frequency),Custom field (Geography),Custom field (Goals),Custom field (HLE (hour)),Custom field (High Level Estimate),Custom field (Hours Estimate),Custom field (ID),Custom field (ITLT Leader),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Idea category),Custom field (Idea short description),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact (migrated)),Custom field (Impact (migrated) (migrated)),Custom field (Impact Analysis),Custom field (Impact Statement),Custom field (Impact score),Custom field (Impacted User),Custom field (Implementation / Communication Plan),Custom field (Implementation Status),Custom field (Implemented by),Custom field (Incident manager),Custom field (Information Points),Custom field (Information Punch List),Custom field (Insights),Custom field (Investment Council Approval Status),Custom field (Issue Health (R/Y/G)),Custom field (Issue Type),Custom field (Issue colour),Custom field (KT Status),Custom field (Leading Technology),Custom field (Linked items),Custom field (Location),Custom field (Locked forms),Custom field (Manager),Custom field (Manager),Custom field (Medtronic Approved),Custom field (Migration),Custom field (Modified By),Custom field (Number of Users Impacted),Custom field (Number of users impacted),Custom field (OPEX ($)),Custom field (Object ID),Custom field (Object Name),Custom field (Objective),Custom field (Objective),Custom field (Objective),Custom field (Objective:),Custom field (Objectives),Custom field (Objectives),Custom field (Offering Impacted),Custom field (Open forms),Custom field (Origin),Custom field (Owner),Custom field (Percentage Complete),Custom field (Phase),Custom field (Phase (migrated)),Custom field (Planview ID),Custom field (Platform),Custom field (Post Release Steps (Manual)),Custom field (Pre Release Steps (Manual)),Custom field (Problem),Custom field (Problems),Custom field (Problems),Custom field (Process),Custom field (Process),Custom field (Product Owner),Custom field (Product Risk),Custom field (Project Link),Custom field (Project Manager),Custom field (Project Manager),Custom field (Project overview key),Custom field (Project overview status),Custom field (Project start),Custom field (Project target),Custom field (Prototype (Invision)),Custom field (RICE score),Custom field (Rank),Custom field (Reach),Custom field (Ready to Implement),Custom field (Ready to Implement Date),Custom field (Regulatory Assessment),Custom field (Rejection Reason),Custom field (Related Demand #),Custom field (Release Steps (Automated)),Custom field (Remaining Effort),Custom field (Reproduction steps),Custom field (Request Type),Custom field (Request Type),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Requester),Custom field (Requester),Custom field (Requestor),Custom field (Resolution),Custom field (Resolution details),Custom field (Resource Group),Custom field (Reviewer),Custom field (Revised Due Date),Custom field (Revision),Custom field (Revision (migrated)),Custom field (Roadmap),Custom field (Root Cause),Custom field (Root Cause (RCA)),Custom field (Root Cause Analysis),Custom field (Root Cause Analysis Detail),Custom field (SI/IS #),Custom field (SI/IS Status),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (ServiceNow Change Number),Custom field (Severity),Custom field (Should have been found in (RCA)),Custom field (Solution),Custom field (Solution Architect),Custom field (Solution Architect),Custom field (Solution Design),Custom field (Solution Designer),Custom field (Spec ready),Custom field (Sponsor),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Stage),Custom field (Stakeholder),Custom field (Start ),Custom field (Start Date ),Custom field (Start date),Custom field (Status Last Changed),Custom field (Steps to Reproduce),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Story point estimate),Custom field (Subject Matter Expert),Custom field (Subject Matter Expert),Custom field (Submitted forms),Custom field (Support Transition),Custom field (Symposium Abstract Completed),Custom field (System where change was tested),Custom field (Target Deployment Date),Custom field (Target Deployment Date),Custom field (Target Due Date),Custom field (Target Due Date ),Custom field (Target end),Custom field (Target quarter),Custom field (Target start),Team Id,Team Name,Custom field (Team(s) Required),Custom field (Technical Notes),Custom field (Technology),Custom field (Technology),Custom field (Test Complexity),Custom field (Test Criticality),Custom field (Test Data),Custom field (Test Level),Custom field (Test Plan),Custom field (Test Results),Custom field (Tester),Custom field (Testing Performed by),Custom field (Ticket Type),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Track),Custom field (Tracking #),Custom field (Tracking #),Custom field (Tracking #),Custom field (Tracking # URL),Custom field (Tracking # URL),Custom field (Tracking System),Custom field (Tracking System),Custom field (User Groups Impacted),Custom field (Validation Steps),Custom field (Value),Custom field (Vendor),Custom field (Vulnerability),Custom field (WBS#),Custom field (WBS/PTTS code),Custom field (What was tested),Custom field (Where test results are located - stored),Custom field (Work category),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Date of First Response (migrated)),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Foundational Activities,DENG-1,31065,Initiative,To Do,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 5:51 PM,11/Sep/25 9:50 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl07b:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,03/Mar/25 5:51 PM
Supply Chain,DENG-2,31066,Initiative,To Do,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 5:51 PM,11/Sep/25 9:50 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl07g:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,03/Mar/25 5:51 PM
Foundational Activities,DENG-6,31070,Epic,To Do,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:16 PM,11/Sep/25 9:48 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl07l:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31065,DENG-1,Foundational Activities,To Do,03/Mar/25 6:16 PM
Sales Order,DENG-8,31072,Epic,To Do,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:16 PM,11/Sep/25 9:48 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,576000,576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl07q:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31066,DENG-2,Supply Chain,To Do,03/Mar/25 6:16 PM
Setting up Service Accounts for webMethods,DENG-10,31074,Story,Deployment Completed,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,Done,Brad Lehmeier,636aa0ce96243ac755ee0558,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:42 PM,11/Sep/25 9:49 AM,,12/Mar/25 4:27 PM,,,0,,,,,,,,,,Daniel Campbell,Narsing Vadineni,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,712020:05003233-5564-40ac-a97c-d91b1872f287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl0a0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10060_*:*_1_*:*_765933325_*|*_10031_*:*_1_*:*_0,,12/Mar/25 4:27 PM;712020:05003233-5564-40ac-a97c-d91b1872f287;This task will need to done for each Source system integration and hence this task needs to be defined per source integration.,,,,,,,,,,,,,,,,,,,,,,,,,31070,DENG-6,Foundational Activities,Done,22/Oct/25 12:01 AM
Firewall rule setup,DENG-11,31075,Story,To Do,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Narsing Vadineni,712020:05003233-5564-40ac-a97c-d91b1872f287,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:42 PM,11/Sep/25 9:49 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl09x:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31070,DENG-6,Foundational Activities,To Do,03/Mar/25 6:42 PM
Setup Qlik SAPGTS Tasks in Dev,DENG-15,31079,Story,Deployment Completed,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Brad Lehmeier,636aa0ce96243ac755ee0558,Brad Lehmeier,636aa0ce96243ac755ee0558,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:42 PM,11/Sep/25 9:49 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl080:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31070,DENG-6,Foundational Activities,Done,22/Oct/25 12:01 AM
Setup Qlik SAPCRM Tasks in Dev,DENG-16,31080,Story,Deployment Completed,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Brad Lehmeier,636aa0ce96243ac755ee0558,Brad Lehmeier,636aa0ce96243ac755ee0558,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:42 PM,11/Sep/25 9:49 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl085:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31070,DENG-6,Foundational Activities,Done,22/Oct/25 12:01 AM
Setup Qlik SAPECC Tasks in Dev,DENG-17,31081,Story,Deployment Completed,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Brad Lehmeier,636aa0ce96243ac755ee0558,Brad Lehmeier,636aa0ce96243ac755ee0558,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:42 PM,11/Sep/25 9:49 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl08a:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31070,DENG-6,Foundational Activities,Done,22/Oct/25 12:01 AM
Setup DBX Catalog and Schemas,DENG-18,31082,Story,Deployment Completed,DENG,Data Engineering Modernization,software,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,Brad Lehmeier,636aa0ce96243ac755ee0558,Brad Lehmeier,636aa0ce96243ac755ee0558,Daniel Campbell,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,03/Mar/25 6:42 PM,11/Sep/25 9:49 AM,,,,,0,,,,,,,,,,Daniel Campbell,,,,,,,,,,,,712020:28dc3339-bd5d-4cd7-afe9-135fd3297267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|zxl07v:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31070,DENG-6,Foundational Activities,Done,22/Oct/25 12:01 AM
