Program,Ref,Deliverable,Workstream,Region,Accountable,Status,RAG,Started,Committed Date,Delivered Date,Report Week,Commentary
Kaika (Japan JDE),D-001,Validate Cutover data model,Localization,APAC Shared,Daniel Osei,Complete,Green,2026-07-20,2026-08-10,2026-08-10,2026-08-10,
Kaika (Japan JDE),D-002,Document Finance Convergence interface,Logistics,Japan,Daniel Osei,Complete,Green,2025-06-27,2025-08-14,2025-08-20,2025-08-20,
Kaika (Japan JDE),D-003,Integrate Finance Convergence master record,Logistics,Japan,Priya Nandakumar,In Progress,Green,2026-05-10,2026-06-01,,2026-08-23,
Kaika (Japan JDE),D-004,Reconcile Finance Convergence interface,Logistics,Japan,Priya Nandakumar,Complete,Green,2025-06-03,2025-06-08,2025-06-10,2025-06-10,
Kaika (Japan JDE),D-005,Decommission Localization audit trail,Localization,Japan,Priya Nandakumar,In Progress,Green,2025-07-09,2025-08-05,,2026-08-28,
Kaika (Japan JDE),D-006,Test Finance Convergence reconciliation,Cutover,Japan,Priya Nandakumar,Not Started,Amber,2025-09-30,2025-10-29,,2026-08-08,
Kaika (Japan JDE),D-007,Test Finance Convergence batch job,Finance Convergence,Japan,Daniel Osei,Complete,Green,2026-03-23,2026-04-20,2026-04-22,2026-04-22,
Kaika (Japan JDE),D-008,Design Localization user role,Localization,Japan,Marta Kowalski,Complete,Green,2025-07-05,2025-11-01,2025-10-26,2025-10-26,
Kaika (Japan JDE),D-009,Migrate Cutover reconciliation,Cutover,Japan,Daniel Osei,Complete,Green,2025-05-22,2025-06-22,2025-06-21,2025-06-21,
Kaika (Japan JDE),D-010,Design Localization audit trail,Logistics,APAC Shared,Priya Nandakumar,Complete,Green,2025-02-03,2025-04-28,2025-03-23,2025-03-23,
Kaika (Japan JDE),D-011,Automate Logistics data model,Localization,APAC Shared,Priya Nandakumar,Complete,Green,2025-09-27,2025-11-10,2025-11-09,2025-11-09,
Kaika (Japan JDE),D-012,Migrate Localization reconciliation,Finance Convergence,Japan,Hiroshi Tanaka,Complete,Green,2026-04-11,2026-06-06,2026-05-24,2026-05-24,
Kaika (Japan JDE),D-013,Validate Localization training module,Cutover,Japan,Daniel Osei,Complete,Green,2026-03-11,2026-04-13,2026-04-07,2026-04-07,
Kaika (Japan JDE),D-014,Automate Logistics training module,Finance Convergence,Japan,Priya Nandakumar,Complete,Green,2025-08-29,2025-10-22,2025-10-10,2025-10-10,
Kaika (Japan JDE),D-015,Refactor Localization batch job,Logistics,Japan,Priya Nandakumar,Complete,Green,2025-12-25,2026-01-25,2026-01-22,2026-01-22,
Kaika (Japan JDE),D-016,Deploy Finance Convergence training module,Logistics,Japan,Hiroshi Tanaka,In Progress,Green,2025-06-22,2025-08-16,,2026-08-30,
Kaika (Japan JDE),D-017,Design Finance Convergence batch job,Logistics,APAC Shared,Hiroshi Tanaka,Complete,Green,2025-12-06,2026-01-17,2026-01-13,2026-01-13,
Kaika (Japan JDE),D-018,Test Localization data model,Finance Convergence,Japan,Hiroshi Tanaka,Complete,Green,2025-11-15,2025-12-10,2025-12-10,2025-12-10,
Kaika (Japan JDE),D-019,Test Logistics cutover task,Localization,APAC Shared,Marta Kowalski,In Progress,Green,2025-12-25,2026-03-12,,2026-08-08,
