Program,Record ID,Title,Phase,Site,Record Owner,Record State,Gate,Opened,Target Close,Actual Close,Last Action,Effort (hrs)
NextGen Trackwise,TW-00001,Build Hypercare reporting extract,Validation,Galway,Marta Kowalski,Awaiting QA Sign-off,Gate 2,2025-06-16,2025-07-29,,2026-08-06,21.0
NextGen Trackwise,TW-00002,Deploy Hypercare user role,Migration,Singapore,Hiroshi Tanaka,Closed,Gate 3,2025-12-13,2026-05-10,2026-05-11,2026-05-11,8.0
NextGen Trackwise,TW-00003,Design Hypercare user role,Training,Minneapolis,Daniel Osei,Draft,Gate 4,2025-02-19,2025-05-23,,2026-03-29,48.0
NextGen Trackwise,TW-00004,Deploy Validation cutover task,Validation,Singapore,Priya Nandakumar,Closed,Gate 1,2025-10-21,2026-05-04,2026-06-17,2026-06-17,11.0
NextGen Trackwise,TW-00005,Integrate Training training module,Validation,Singapore,Marta Kowalski,Closed,Gate 2,2024-11-04,2025-02-05,2024-12-30,2024-12-30,15.0
NextGen Trackwise,TW-00006,Automate Migration API contract,Validation,Singapore,Daniel Osei,Awaiting QA Sign-off,Gate 3,2025-08-28,2025-10-20,,2026-07-27,24.0
NextGen Trackwise,TW-00007,Deploy Validation dashboard,Migration,Singapore,Sean Gallagher,Closed,Gate 4,2025-03-28,2025-05-08,2025-05-08,2025-05-08,27.0
NextGen Trackwise,TW-00008,Onboard Migration reconciliation,Validation,Singapore,Daniel Osei,Closed,Gate 1,2025-05-29,2025-06-18,2025-06-17,2025-06-17,5.0
NextGen Trackwise,TW-00009,Integrate Validation test script,Hypercare,Galway,Priya Nandakumar,Closed,Gate 2,2025-03-19,2025-05-06,2025-05-09,2025-05-09,19.0
NextGen Trackwise,TW-00010,Automate Validation dashboard,Hypercare,Galway,Marta Kowalski,Verification,Gate 3,2025-06-21,2025-11-25,,2026-08-17,49.0
NextGen Trackwise,TW-00011,Test Training interface,Migration,Galway,Daniel Osei,Awaiting QA Sign-off,Gate 4,2025-01-13,2025-04-20,,2026-07-29,17.0
NextGen Trackwise,TW-00012,Deploy Training test script,Validation,Singapore,Priya Nandakumar,Closed,Gate 1,2025-03-03,2025-05-07,2025-05-03,2025-05-03,20.0
NextGen Trackwise,TW-00013,Integrate Migration master record,Validation,Minneapolis,Marta Kowalski,Closed,Gate 2,2025-07-08,2025-08-20,2025-08-10,2025-08-10,28.0
NextGen Trackwise,TW-00014,Document Validation batch job,Migration,Galway,Marta Kowalski,Closed,Gate 3,2025-11-16,2026-02-12,2026-01-25,2026-01-25,21.0
NextGen Trackwise,TW-00015,Automate Hypercare batch job,Migration,Galway,Priya Nandakumar,Draft,Gate 4,2025-02-09,2025-06-30,,2026-04-28,9.0
NextGen Trackwise,TW-00016,Integrate Training test script,Training,Galway,Marta Kowalski,Draft,Gate 1,2024-11-30,2025-02-09,,2026-05-23,23.0
NextGen Trackwise,TW-00017,Design Training reconciliation,Migration,Galway,Marta Kowalski,Draft,Gate 2,2025-10-01,2025-11-27,,2026-05-29,59.0
