SNo,Agents/Data Products,Description,Architects,Domain,Sub-Domain,Status,Origin,Demand Intake Number,Platform,Link,ETA,Comment
1,OEE360,"Monitors Overall Equipment Effectiveness (OEE), tracks downtime, and delivers actionable insights to boost manufacturing efficiency, reduce losses, and ensure consistent quality in medical device production.",aditya.akella@medtronic.com,Business,Manufacturing,,,,,,,
2,HCP Insights,"This dashboard provides a high level overview of contacts associated with customer accounts , focusing on data completeness and not validity, affiliated with the enterprise",ali.syed@medtronic.com,Business,MDM,,,,,,,
3,Spine Surgery Research Agent,This agent understands spine surgery research data questions as input and responds with precision.,Brad Lehmeier,Business,Regulatory,,,,,,,
4,SnowOptimize,"A powerful Snowflake agent designed to enhance query performance. Provide a SQL query or a query_id, and the Query Optimizer will analyze it to deliver tailored recommendations for optimizing execution, improving efficiency, and reducing resource consumption.",Brad Lehmeier,IT4IT,,,,,,,,
5,SHA ADVANCE Study Agent,This agent understands questions about clinical study data as input and responds with precision.,Brad Lehmeier,Business,Regulatory,,,,,,,
6,GSR Future Revenue Recogniton,"AI-powered assistant that enables Finance teams to quickly analyze, explain, and reconcile revenue that has not yet been recognized due to contractual, timing, or accounting rules.",chayashree.Tellaevarapalli@medtronic.com,Business,GSR,,,,,,,
7,Finance Insights,"Provides detailed records of actual financial transactions, including expenses and revenues, forecasts and plans",chayashree.Tellaevarapalli@medtronic.com,Business,GSR,,,,,,,
8,ProdPulse,"The PRODPULSE Agent simplifies data operations across Product, Account, User, and Record Types. It ensures accuracy, enforces business rules, and maintains data integrity. Designed for seamless workflows and reliable decision-making.",jallen2@medtronic.com,Business,MDM,,,,,,,
9,HCP 360 Insights Agent,"HCP 360 Insights Agent is one of the most impactful Genie Agents you can build, and it leverages your HCP/HCO Databricks tables perfectly.",jallen2@medtronic.com,Business,MDM,,,,,,,
10,"Agent - EVA, Data Product - Enterprise Value Operation","EVA provides comprehensive answers to questions about Medtronic’s value streams, business capabilities, business applications, and Planisware projects, illustrating how these elements are interconnected.",jason.nguyen4@medtronic.com,IT4IT,Enterprise,,,,,,,
11,Labor Recovery Insights,,Kai Gui,Business,GOSC,,,,,,,
12,Carrier Details (Shipping),"Information about the transportation provider responsible for delivering goods. Used in Outbound deliveries, Shipment documents, Freight settlement",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
13,Delivery,The execution document for shipping goods to the customer,kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
14,Shipping Delivery Performance,"A measure of how well deliveries meet promised dates and quantities.  KPIs  On-time delivery (OTD), On-time in-full (OTIF), 
Delivery delays, In short How reliably goods are shipped to customers",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
15,Customer reciving config,"Configuration and process setup that defines how a customer receives goods from a Distribution Center (DC).  Includes Receiving methods (direct ship, cross-dock), Delivery windows and cut-off times, Packaging and labeling rules, Proof of delivery requirements.  How customers are set up to receive goods from a DC",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
16,Digital Signature,An electronic authentication used to validate approvals and transactions.  Electronic approval and authentication.,kamal.ahuja@medtronic.com,Business,Enterprise,,,,,,,
17,Employee experience,"The overall experience of employees while using systems, processes, and tools to perform their work. Includes Ease of using SAP transactions, Process efficiency, Workload clarity, Automation and self-service",kamal.ahuja@medtronic.com,Business,Enterprise,,,,,,,
18,Handling Unit,A logistical packaging unit that groups materials together for handling and transport.  Packaging unit for logistics handling,kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
19,Loaner Availability Stats,"Metrics that show availability of loaner equipment provided temporarily to customers. Tracks Total loaner inventory, Available vs issued loaners, Utilization rate, Turnaround time.  Used by Service operations, Customer support, Asset management.  In short How many loaners are available and usable",kamal.ahuja@medtronic.com,Business,Commercial,,,,,,,
20,Loaner Shortage,"A situation where demand for loaner equipment exceeds available inventory.  Impact  Service delays, Customer dissatisfaction, SLA breaches",kamal.ahuja@medtronic.com,Business,Commercial,,,,,,,
21,Metric,"A quantifiable measure used to track performance, efficiency, or outcomes. Examples  On-time delivery %, Loaner utilization rate, Dispute resolution time, 
Inventory accuracy %",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
22,General Ledger Item,"Central repository of financial postings, Provides the official books of accounts, Basis for financial statements",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
23,Batch Stocks,Inventory managed by batch number to ensure traceability and quality control. Stock tracked by batch,kamal.ahuja@medtronic.com,Business,Manufacturing,,,,,,,
24,Cycle Count WM,"A periodic physical inventory counting process for selected materials or bins instead of full warehouse counts. Regular, scheduled inventory counting, Minimizes operational disruption, Ensures inventory accuracy",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
25,Material Consumption,"Stock usage or depletion for business purposes.  In short Inventory used or consumed
Examples :  Production consumption, Sales delivery ,Scrap or loss
Effect : Reduces inventory Impacts COGS or expenses

",kamal.ahuja@medtronic.com,Business,Manufacturing,,,,,,,
26,Material Document,"Created whenever stock changes Records what material moved, how much, where, and why Serves as the audit trail for inventory, Proof of inventory movement.  Created for Goods Receipt, Goods Issue, Stock Transfer, Inventory Adjustment, 
Production consumption",kamal.ahuja@medtronic.com,Business,Manufacturing,,,,,,,
27,Production Order Goods Movements,"Inventory movements posted against the production order, Stock movements for production",kamal.ahuja@medtronic.com,Business,Manufacturing,,,,,,,
28,Special Stock,"Stock that is managed separately from regular inventory due to ownership or purpose.
Examples : Consignment stock, Project stock, Sales order stock, Customer-owned stock",kamal.ahuja@medtronic.com,Business,GOSC,,,,,,,
29,Product Avalibility,"The system’s ability to confirm whether sufficient stock is available to fulfill a customer order on a requested date.  Driven by ATP (Available-to-Promise), Current inventory, Planned receipts and issues",kamal.ahuja@medtronic.com,Business,Commercial,,,,,,,
